"Time [s]","$supplied_voltage []"
0.931499999999991,11.4686279999999
0.932849999999991,11.4852491999999
0.934199999999991,11.5018703999999
0.935549999999991,11.5184915999999
0.936899999999991,11.5351127999999
0.938249999999991,11.5517339999999
0.939599999999991,11.5683551999999
0.940949999999991,11.5849763999999
0.94229999999999,11.6015975999999
0.94364999999999,11.6182187999999
0.94499999999999,11.6348399999999
0.94634999999999,11.6514611999999
0.94769999999999,11.6680823999999
0.94904999999999,11.6847035999999
0.95039999999999,11.7013247999999
0.95174999999999,11.7179459999999
0.95309999999999,11.7345671999999
0.95444999999999,11.7511883999999
0.95579999999999,11.7678095999999
0.95714999999999,11.7844307999999
0.95849999999999,11.8010519999999
0.95984999999999,11.8176731999999
0.96119999999999,11.8342943999999
0.96254999999999,11.8509155999999
0.96389999999999,11.8675367999999
0.96524999999999,11.8841579999999
0.96659999999999,11.9007791999999
0.96794999999999,11.9174003999999
0.96929999999999,11.9340215999999
0.97064999999999,11.9506427999999
0.97199999999999,11.9672639999999
0.97334999999999,11.9838851999999
0.97469999999999,12.0005063999999
0.97604999999999,12.0171275999999
0.977399999999989,12.0337487999999
0.978749999999989,12.0503699999999
0.980099999999989,12.0669911999999
0.981449999999989,12.0836123999999
0.982799999999989,12.1002335999999
0.984149999999989,12.1168547999999
0.985499999999989,12.1334759999999
0.986849999999989,12.1500971999999
0.988199999999989,12.1667183999999
0.989549999999989,12.1833395999999
0.990899999999989,12.1999607999999
0.992249999999989,12.2165819999999
0.993599999999989,12.2332031999999
0.994949999999989,12.2498243999999
0.996299999999989,12.2664455999999
0.997649999999989,12.2830667999999
0.998999999999989,12.2996879999999
1.00034999999999,12.3163091999999
1.00169999999999,12.3329303999999
1.00304999999999,12.3495515999999
1.00439999999999,12.3661727999999
1.00574999999999,12.3827939999999
1.00709999999999,12.3994151999999
1.00844999999999,12.4160363999999
1.00979999999999,12.4326575999999
1.01114999999999,12.4492787999999
1.01249999999999,12.4658999999999
1.01384999999999,12.4825211999999
1.01519999999999,12.4991423999999
1.01654999999999,12.5157635999999
1.01789999999999,12.5323847999999
1.01924999999999,12.5490059999999
1.02059999999999,12.5656271999999
1.02194999999999,12.5822483999999
1.02329999999999,12.5988695999999
1.02464999999999,12.6154907999999
1.02599999999999,12.6321119999999
1.02734999999999,12.6487331999999
1.02869999999999,12.6653543999999
1.03004999999999,12.6819755999999
1.03139999999999,12.6985967999999
1.03274999999999,12.7152179999999
1.03409999999999,12.7318391999999
1.03544999999999,12.7484603999999
1.03679999999999,12.7650815999999
1.03814999999999,12.7817027999999
1.03949999999999,12.7983239999999
1.04084999999999,12.8149451999999
1.04219999999999,12.8315663999999
1.04354999999999,12.8481875999999
1.04489999999999,12.8648087999999
1.04624999999999,12.8814299999999
1.04759999999999,12.8980511999999
1.04894999999999,12.9146723999999
1.05029999999999,12.9312935999999
1.05164999999999,12.9479147999999
1.05299999999999,12.9645359999999
1.05434999999999,12.9811571999999
1.05569999999999,12.9977783999999
1.05704999999999,13.0143995999999
1.05839999999999,13.0310207999999
1.05974999999999,13.0476419999999
1.06109999999999,13.0642631999999
1.06244999999999,13.0808843999999
1.06379999999999,13.0975055999999
1.06514999999999,13.1141267999999
1.06649999999999,13.1307479999999
1.06784999999999,13.1473691999999
1.06919999999999,13.1639903999999
1.07054999999999,13.1806115999999
1.07189999999999,13.1972327999999
1.07324999999999,13.2138539999999
1.07459999999999,13.2304751999999
1.07594999999999,13.2470963999999
1.07729999999999,13.2637175999999
1.07864999999999,13.2803387999999
1.07999999999999,13.2969599999999
1.08134999999999,13.3135811999999
1.08269999999999,13.3302023999999
1.08404999999999,13.3468235999999
1.08539999999999,13.3634447999999
1.08674999999999,13.3800659999999
1.08809999999999,13.3966871999999
1.08944999999999,13.4133083999999
1.09079999999999,13.4299295999999
1.09214999999999,13.4465507999999
1.09349999999999,13.4631719999999
1.09484999999999,13.4797931999999
1.09619999999999,13.4964143999999
1.09754999999999,13.5130355999999
1.09889999999999,13.5296567999999
1.10024999999999,13.5462779999999
1.10159999999999,13.5628991999999
1.10294999999999,13.5795203999999
1.10429999999999,13.5961415999999
1.10564999999999,13.6127627999999
1.10699999999999,13.6293839999999
1.10834999999999,13.6460051999999
1.10969999999999,13.6626263999999
1.11104999999999,13.6792475999999
1.11239999999999,13.6958687999999
1.11374999999999,13.7124899999999
1.11509999999999,13.7291111999999
1.11644999999999,13.7457323999999
1.11779999999999,13.7623535999999
1.11914999999999,13.7789747999999
1.12049999999999,13.7955959999999
1.12184999999999,13.8122171999999
1.12319999999999,13.8288383999999
